,dataset,object,owner,project,property,stars,users
35,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,mirties_data,0.0,8.0
36,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,gimimo_vieta,1.0,8.0
37,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,projects/manopozicija.lt,nuotrauka,1.0,8.0
38,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manopozicija.lt,seimo_narys,2.0,8.0
39,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manopozicija.lt,rūšis,2.0,8.0
40,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,projects/manopozicija.lt,reikšmė,2.0,8.0
41,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manopozicija.lt,kadencija,2.0,8.0
42,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manopozicija.lt,seimo_narys,2.0,8.0
43,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manopozicija.lt,kas_iškėlė,1.0,8.0
44,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manopozicija.lt,nuo,2.0,8.0
45,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,projects/manopozicija.lt,iki,2.0,8.0
46,gov/vrk/rinkejopuslapis.lt/kandidatai,politika/partija,gov/vrk,projects/manopozicija.lt,pavadinimas,2.0,8.0
47,gov/lrs/ad,politika/partija,gov/lrs,projects/manopozicija.lt,trumpinys,1.0,8.0
48,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,projects/manopozicija.lt,pavadinimas,2.0,8.0
49,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,projects/manopozicija.lt,trumpinys,2.0,8.0
50,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manopozicija.lt,seimo_narys,2.0,8.0
51,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manopozicija.lt,grupė,2.0,8.0
52,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manopozicija.lt,pareigos,2.0,8.0
53,gov/lrs/ad,politika/seimas/pareigos,gov/lrs,projects/manopozicija.lt,nuo,0.0,8.0
